static_bug_id,bug_class_id,bug_class_name,category,description,real_bug_source,real_bug_repository,mutation_supported,support_level,qrate,quantum_specificity,expected_effect,static_detectable,dynamic_detectable,research_notes
QSB-001,QB-001,Missing gate,Gate-level,A required quantum gate is absent from the circuit,Bugs4Q; Empirical Quantum Platform Bug Study,https://github.com/Z-928/Bugs4Q; https://github.com/MattePalte/Bugs-Quantum-Computing-Platforms,Yes,Direct,5,High,Incorrect circuit transformation and wrong output distribution,Sometimes,Yes,Strong baseline bug class for quantum mutation testing
QSB-002,QB-002,Extra gate,Gate-level,An unintended quantum gate is added to the circuit,Bugs4Q; Empirical Quantum Platform Bug Study,https://github.com/Z-928/Bugs4Q; https://github.com/MattePalte/Bugs-Quantum-Computing-Platforms,Yes,Direct,5,High,Unexpected state transformation and changed measurement probabilities,Sometimes,Yes,Strong baseline bug class for artificial mutation datasets
QSB-003,QB-003,Wrong gate,Gate-level,A quantum gate is replaced with an incorrect gate,Bugs4Q; Qiskit Bug Pattern Research; Empirical Quantum Platform Bug Study,https://github.com/Z-928/Bugs4Q; https://github.com/Z-928/Bug-Pattern; https://github.com/MattePalte/Bugs-Quantum-Computing-Platforms,Yes,Direct,5,High,Incorrect quantum operation causes wrong output state or distribution,Sometimes,Yes,One of the most directly supported bug classes across mutation tools
QSB-004,QB-004,Wrong target qubit,Gate-level,A gate is applied to the wrong qubit or qubit pair,Empirical Quantum Platform Bug Study,https://github.com/MattePalte/Bugs-Quantum-Computing-Platforms,Yes,Direct,5,High,Correct operation affects the wrong quantum state component,Sometimes,Yes,Very important for circuit correctness because qubit identity matters
QSB-005,QB-005,Wrong qubit order,Qubit/register-level,Qubits are ordered or mapped incorrectly,Empirical Quantum Platform Bug Study,https://github.com/MattePalte/Bugs-Quantum-Computing-Platforms,Yes,Partial,5,High,Output interpretation or circuit semantics are reversed or misaligned,Sometimes,Yes,Important real bug class but only partially captured by current mutation tools
QSB-006,QB-006,Wrong qubit count,Qubit/register-level,The program assumes or initializes the wrong number of qubits,Qiskit Bug Pattern Research; Empirical Quantum Platform Bug Study,https://github.com/Z-928/Bug-Pattern; https://github.com/MattePalte/Bugs-Quantum-Computing-Platforms,Yes,Partial,4,High,Invalid circuit construction or incorrect algorithm size,Yes,Yes,Useful for static analysis and future mutation operators
QSB-007,QB-007,Missing measurement,Measurement-level,A required measurement operation is missing,Bugs4Q; Qiskit Bug Pattern Research,https://github.com/Z-928/Bugs4Q; https://github.com/Z-928/Bug-Pattern,Yes,Direct,5,High,No classical output is produced for required quantum state,Sometimes,Yes,Directly supported by QMutPy and highly quantum-specific
QSB-008,QB-008,Premature or extra measurement,Measurement-level,A measurement is inserted too early or unnecessarily,Qiskit Bug Pattern Research,https://github.com/Z-928/Bug-Pattern,Yes,Direct,5,High,Quantum state collapses before the algorithm finishes,Sometimes,Yes,Important because measurement changes program semantics
QSB-009,QB-009,Repeated measurement,Measurement-level,A qubit is measured repeatedly or too many measurements are performed,Qiskit Bug Pattern Research,https://github.com/Z-928/Bug-Pattern,No,Unsupported,4,High,May cause simulator errors backend issues or invalid output interpretation,Yes,Yes,Good candidate for a new measurement repetition mutation operator
QSB-010,QB-010,Operation after measurement,Measurement-level,A quantum operation is incorrectly applied after measurement,Qiskit Bug Pattern Research,https://github.com/Z-928/Bug-Pattern,Yes,Partial,4,High,Program applies quantum logic after collapse in an invalid or unintended way,Yes,Yes,Can be partially simulated with measurement insertion plus gate mutation
QSB-011,QB-011,Unsafe uncomputation,Algorithm-level,An inverse or cleanup operation is applied incorrectly and leaves invalid state,Qiskit Bug Pattern Research,https://github.com/Z-928/Bug-Pattern,No,Unsupported,4,High,Ancilla or intermediate state is not restored correctly,Sometimes,Yes,Important algorithm-level bug not covered by simple gate mutation
QSB-012,QB-012,Wrong parameter value,Parameter-level,A rotation angle or gate parameter value is incorrect,Bugs4Q; QuanForge; Empirical Quantum Platform Bug Study,https://github.com/Z-928/Bugs4Q; https://github.com/MattePalte/Bugs-Quantum-Computing-Platforms,Yes,Direct,5,High,Incorrect rotation angle changes amplitudes and output probabilities,Sometimes,Yes,Important for parameterized circuits and variational algorithms
QSB-013,QB-013,Parameter sign flip,Parameter-level,A gate parameter has the wrong sign,QuanForge,QuanForge paper or implementation,Yes,Direct,5,High,Rotation direction is reversed and circuit behavior changes,Sometimes,Yes,Especially useful for QNN and variational quantum algorithm testing
QSB-014,QB-014,Parameter misbinding,Parameter-level,A parameter is assigned to the wrong gate or position,QuanForge,QuanForge paper or implementation,Yes,Direct,5,High,Learned or configured parameter affects the wrong operation,Sometimes,Yes,Important for QNN robustness and trained circuit correctness
QSB-015,QB-015,Wrong gate order,Gate-level,A correct gate is placed in the wrong circuit position,Empirical Quantum Platform Bug Study,https://github.com/MattePalte/Bugs-Quantum-Computing-Platforms,Yes,Direct,5,High,Non-commuting gates execute in the wrong order and produce wrong output,Sometimes,Yes,Important because quantum operations are generally order-sensitive
QSB-016,QB-016,Wrong control relation,Gate-level,A control qubit is added removed or assigned incorrectly,Empirical Quantum Platform Bug Study,https://github.com/MattePalte/Bugs-Quantum-Computing-Platforms,Yes,Direct,5,High,Entanglement or conditional operation is incorrect,Sometimes,Yes,Important entanglement-related bug class
QSB-017,QB-017,Custom gate recognition error,API/circuit-level,A custom gate is invalid or not recognized by the framework,Qiskit Bug Pattern Research,https://github.com/Z-928/Bug-Pattern,No,Unsupported,3,Medium,Program fails during circuit construction transpilation or execution,Yes,Yes,More API-specific than circuit-semantic but still relevant
QSB-018,QB-018,Classical quantum register mismatch,Qubit/register-level,The number of classical bits does not match measured qubits,Qiskit Bug Pattern Research,https://github.com/Z-928/Bug-Pattern,No,Unsupported,4,High,Measurement results cannot be stored or interpreted correctly,Yes,Yes,Strong static-analysis bug class and good future mutation target
QSB-019,QB-019,Incorrect intermediate representation,Compiler/platform-level,A circuit or internal representation drops or stores incorrect information,Empirical Quantum Platform Bug Study,https://github.com/MattePalte/Bugs-Quantum-Computing-Platforms,No,Unsupported,4,High,Compiler or simulator uses an incorrect representation of the quantum program,Sometimes,Yes,Important platform-level bug not covered by circuit mutation tools
QSB-020,QB-020,MSB LSB convention mismatch,Representation-level,The program uses the wrong bit ordering or endian convention,Empirical Quantum Platform Bug Study,https://github.com/MattePalte/Bugs-Quantum-Computing-Platforms,No,Unsupported,5,High,Output bits are interpreted in the wrong order,Sometimes,Yes,Very important and currently under-supported by mutation tools
QSB-021,QB-021,Incorrect scheduling,Compiler/platform-level,Quantum operations are scheduled at incorrect times,Empirical Quantum Platform Bug Study,https://github.com/MattePalte/Bugs-Quantum-Computing-Platforms,No,Unsupported,4,High,Low-level quantum instructions execute at the wrong time,Sometimes,Yes,Important for hardware and compiler-level testing
QSB-022,QB-022,Incorrect numerical computation,Math-level,A formula probability amplitude matrix or numerical computation is incorrect,Empirical Quantum Platform Bug Study,https://github.com/MattePalte/Bugs-Quantum-Computing-Platforms,Yes,Partial,4,Medium,Simulation or algorithm calculation produces incorrect results,Sometimes,Yes,Partly classical but important for quantum simulators
QSB-023,QB-023,Incorrect randomness handling,Math-level,Random seed sampling or probability behavior is handled incorrectly,Empirical Quantum Platform Bug Study,https://github.com/MattePalte/Bugs-Quantum-Computing-Platforms,Yes,Partial,3,Medium,Sampling results are unstable biased or unreproducible,Sometimes,Yes,Relevant to quantum measurement sampling but not purely quantum-specific
QSB-024,QB-024,API misuse,API-level,The program uses the quantum framework API incorrectly,Empirical Quantum Platform Bug Study,https://github.com/MattePalte/Bugs-Quantum-Computing-Platforms,Yes,Partial,3,Medium,Program fails or behaves incorrectly due to incorrect API use,Yes,Yes,Common but partly general software engineering
QSB-025,QB-025,Backend or simulator compatibility issue,Backend-level,A program works on one backend or simulator but fails on another,Bugs4Q; Empirical Quantum Platform Bug Study,https://github.com/Z-928/Bugs4Q; https://github.com/MattePalte/Bugs-Quantum-Computing-Platforms,No,Unsupported,4,High,Different execution targets produce failures or inconsistent behavior,Sometimes,Yes,Important real-world issue but difficult to model with simple mutation
